'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.510
'0:00.004',-0.520
'0:00.008',-0.515
'0:00.012',-0.530
'0:00.016',-0.540
'0:00.020',-0.545
'0:00.024',-0.545
'0:00.028',-0.565
'0:00.032',-0.565
'0:00.036',-0.545
'0:00.040',-0.545
'0:00.044',-0.530
'0:00.048',-0.525
'0:00.052',-0.540
'0:00.056',-0.540
'0:00.060',-0.495
'0:00.064',-0.490
'0:00.068',-0.520
'0:00.072',-0.540
'0:00.076',-0.560
'0:00.080',-0.570
'0:00.084',-0.565
'0:00.088',-0.605
'0:00.092',-0.690
'0:00.096',-0.790
'0:00.100',-0.815
'0:00.104',-0.855
'0:00.108',-0.885
'0:00.112',-0.890
'0:00.116',-0.870
'0:00.120',-0.875
'0:00.124',-0.955
'0:00.128',-1.120
'0:00.132',-1.280
'0:00.136',-1.365
'0:00.140',-1.440
'0:00.144',-1.625
'0:00.148',-1.905
'0:00.152',-2.195
'0:00.156',-2.360
'0:00.160',-2.395
'0:00.164',-2.335
'0:00.168',-2.315
'0:00.172',-2.325
'0:00.176',-2.195
'0:00.180',-2.000
'0:00.184',-1.830
'0:00.188',-1.690
'0:00.192',-1.550
'0:00.196',-1.435
'0:00.200',-1.310
'0:00.204',-1.175
'0:00.208',-1.050
'0:00.212',-0.960
'0:00.216',-0.860
'0:00.220',-0.760
'0:00.224',-0.665
'0:00.228',-0.600
'0:00.232',-0.545
'0:00.236',-0.490
'0:00.240',-0.435
'0:00.244',-0.410
'0:00.248',-0.400
'0:00.252',-0.385
'0:00.256',-0.345
'0:00.260',-0.320
'0:00.264',-0.320
'0:00.268',-0.290
'0:00.272',-0.260
'0:00.276',-0.255
'0:00.280',-0.235
'0:00.284',-0.210
'0:00.288',-0.200
'0:00.292',-0.190
'0:00.296',-0.190
'0:00.300',-0.185
'0:00.304',-0.185
'0:00.308',-0.180
'0:00.312',-0.180
'0:00.316',-0.180
'0:00.320',-0.185
'0:00.324',-0.210
'0:00.328',-0.220
'0:00.332',-0.210
'0:00.336',-0.205
'0:00.340',-0.240
'0:00.344',-0.250
'0:00.348',-0.250
'0:00.352',-0.260
'0:00.356',-0.285
'0:00.360',-0.290
'0:00.364',-0.335
'0:00.368',-0.365
'0:00.372',-0.385
'0:00.376',-0.390
'0:00.380',-0.425
'0:00.384',-0.455
'0:00.388',-0.470
'0:00.392',-0.455
'0:00.396',-0.475
'0:00.400',-0.495
'0:00.404',-0.530
'0:00.408',-0.545
'0:00.412',-0.530
'0:00.416',-0.470
'0:00.420',-0.440
'0:00.424',-0.430
'0:00.428',-0.420
'0:00.432',-0.380
'0:00.436',-0.385
'0:00.440',-0.395
'0:00.444',-0.400
'0:00.448',-0.435
'0:00.452',-0.465
'0:00.456',-0.465
'0:00.460',-0.465
'0:00.464',-0.510
'0:00.468',-0.585
'0:00.472',-0.655
'0:00.476',-0.685
'0:00.480',-0.730
'0:00.484',-0.765
'0:00.488',-0.810
'0:00.492',-0.895
'0:00.496',-0.970
'0:00.500',-1.015
'0:00.504',-1.040
'0:00.508',-1.060
'0:00.512',-1.080
'0:00.516',-1.085
'0:00.520',-1.100
'0:00.524',-1.115
'0:00.528',-1.130
'0:00.532',-1.150
'0:00.536',-1.155
'0:00.540',-1.165
'0:00.544',-1.165
'0:00.548',-1.175
'0:00.552',-1.180
'0:00.556',-1.180
'0:00.560',-1.175
'0:00.564',-1.200
'0:00.568',-1.220
'0:00.572',-1.230
'0:00.576',-1.195
'0:00.580',-1.195
'0:00.584',-1.215
'0:00.588',-1.225
'0:00.592',-1.240
'0:00.596',-1.255
'0:00.600',-1.235
'0:00.604',-1.290
'0:00.608',-1.325
'0:00.612',-1.360
'0:00.616',-1.375
'0:00.620',-1.410
'0:00.624',-1.480
'0:00.628',-1.610
'0:00.632',-1.695
'0:00.636',-1.720
'0:00.640',-1.755
'0:00.644',-1.785
'0:00.648',-1.790
'0:00.652',-1.765
'0:00.656',-1.770
'0:00.660',-1.860
'0:00.664',-2.065
'0:00.668',-2.255
'0:00.672',-2.380
'0:00.676',-2.445
'0:00.680',-2.635
'0:00.684',-2.920
'0:00.688',-3.190
'0:00.692',-3.335
'0:00.696',-3.340
'0:00.700',-3.215
'0:00.704',-3.155
'0:00.708',-3.110
'0:00.712',-2.970
'0:00.716',-2.760
'0:00.720',-2.570
'0:00.724',-2.410
'0:00.728',-2.260
'0:00.732',-2.140
'0:00.736',-2.020
'0:00.740',-1.905
'0:00.744',-1.800
'0:00.748',-1.710
'0:00.752',-1.610
'0:00.756',-1.505
'0:00.760',-1.400
'0:00.764',-1.340
'0:00.768',-1.280
'0:00.772',-1.235
'0:00.776',-1.175
'0:00.780',-1.140
'0:00.784',-1.115
'0:00.788',-1.090
'0:00.792',-1.045
'0:00.796',-1.025
'0:00.800',-1.000
'0:00.804',-0.970
'0:00.808',-0.935
'0:00.812',-0.915
'0:00.816',-0.890
'0:00.820',-0.865
'0:00.824',-0.835
'0:00.828',-0.815
'0:00.832',-0.800
'0:00.836',-0.800
'0:00.840',-0.765
'0:00.844',-0.720
'0:00.848',-0.710
'0:00.852',-0.710
'0:00.856',-0.710
'0:00.860',-0.700
'0:00.864',-0.690
'0:00.868',-0.680
'0:00.872',-0.680
'0:00.876',-0.670
'0:00.880',-0.690
'0:00.884',-0.705
'0:00.888',-0.705
'0:00.892',-0.700
'0:00.896',-0.705
'0:00.900',-0.710
'0:00.904',-0.730
'0:00.908',-0.745
'0:00.912',-0.750
'0:00.916',-0.760
'0:00.920',-0.760
'0:00.924',-0.750
'0:00.928',-0.745
'0:00.932',-0.745
'0:00.936',-0.740
'0:00.940',-0.765
'0:00.944',-0.765
'0:00.948',-0.765
'0:00.952',-0.720
'0:00.956',-0.640
'0:00.960',-0.600
'0:00.964',-0.600
'0:00.968',-0.570
'0:00.972',-0.555
'0:00.976',-0.550
'0:00.980',-0.570
'0:00.984',-0.575
'0:00.988',-0.580
'0:00.992',-0.580
'0:00.996',-0.615
'0:01.000',-0.635
'0:01.004',-0.710
'0:01.008',-0.780
'0:01.012',-0.810
'0:01.016',-0.835
'0:01.020',-0.870
'0:01.024',-0.905
'0:01.028',-0.990
'0:01.032',-1.025
'0:01.036',-1.070
'0:01.040',-1.125
'0:01.044',-1.140
'0:01.048',-1.140
'0:01.052',-1.160
'0:01.056',-1.170
'0:01.060',-1.170
'0:01.064',-1.200
'0:01.068',-1.200
'0:01.072',-1.180
'0:01.076',-1.160
'0:01.080',-1.170
'0:01.084',-1.195
'0:01.088',-1.200
'0:01.092',-1.200
'0:01.096',-1.195
'0:01.100',-1.185
'0:01.104',-1.195
'0:01.108',-1.210
'0:01.112',-1.210
'0:01.116',-1.190
'0:01.120',-1.190
'0:01.124',-1.165
'0:01.128',-1.140
'0:01.132',-1.125
'0:01.136',-1.115
'0:01.140',-1.155
'0:01.144',-1.160
'0:01.148',-1.165
'0:01.152',-1.165
'0:01.156',-1.190
'0:01.160',-1.245
'0:01.164',-1.325
'0:01.168',-1.400
'0:01.172',-1.415
'0:01.176',-1.440
'0:01.180',-1.470
'0:01.184',-1.460
'0:01.188',-1.415
'0:01.192',-1.380
